ds,y
2017-01-26,12868
2017-01-27,14709
2017-01-28,13149
2017-01-29,11648
2017-01-30,12943
2017-01-31,13719
2017-02-01,13974
2017-02-02,13068
2017-02-03,14646
2017-02-04,14414
2017-02-05,14346
2017-02-06,14581
2017-02-07,14192
2017-02-08,13042
2017-02-09,14235
2017-02-10,14252
2017-02-11,12627
2017-02-12,10954
2017-02-13,12257
2017-02-14,12273
2017-02-15,11389
2017-02-16,12335
2017-02-17,12158
2017-02-18,10968
2017-02-19,11286
2017-02-20,11940
2017-02-21,13042
2017-02-22,13159
2017-02-23,14408
2017-02-24,16354
2017-02-25,15266
2017-02-26,13062
2017-02-27,14364
2017-02-28,14110
2017-03-01,11762
2017-03-02,11148
2017-03-03,13086
2017-03-04,13249
2017-03-05,13199
2017-03-06,12993
2017-03-07,12680
2017-03-08,12188
2017-03-09,13188
2017-03-10,13360
2017-03-11,12321
2017-03-12,10158
2017-03-13,11835
2017-03-14,11888
2017-03-15,11643
2017-03-16,12081
2017-03-17,12027
2017-03-18,10463
2017-03-19,10369
2017-03-20,11365
2017-03-21,12524
2017-03-22,12120
2017-03-23,13514
2017-03-24,15546
2017-03-25,14315
2017-03-26,12567
2017-03-27,14211
2017-03-28,13819
2017-03-29,13257
2017-03-30,14397
2017-03-31,16403
2017-04-01,15017
2017-04-02,12926
2017-04-03,15113
2017-04-04,16102
2017-04-05,17817
2017-04-06,17187
2017-04-07,17566
2017-04-08,15418
2017-04-09,15298
2017-04-10,15447
2017-04-11,14610
2017-04-12,13572
2017-04-13,15613
2017-04-14,13722
2017-04-15,13383
2017-04-16,13227
2017-04-17,12919
2017-04-18,12149
2017-04-19,13291
2017-04-20,15094
2017-04-21,17405
2017-04-22,15461
2017-04-23,15262
2017-04-24,16941
2017-04-25,19649
2017-04-26,18604
2017-04-27,21285
2017-04-28,20979
2017-04-29,18887
2017-04-30,18395
2017-05-01,18538
2017-05-02,18234
2017-05-03,19066
2017-05-04,20412
2017-05-05,22932
2017-05-06,21001
2017-05-07,18942
2017-05-08,18702
2017-05-09,20808
2017-05-10,19237
2017-05-11,18534
2017-05-12,18252
2017-05-13,18264
2017-05-14,16350
2017-05-15,15802
2017-05-16,16868
2017-05-17,16842
2017-05-18,16152
2017-05-19,18790
2017-05-20,19178
2017-05-21,20520
2017-05-22,19106
2017-05-23,21647
2017-05-24,22814
2017-05-25,19688
2017-05-26,18621
2017-05-27,19324
2017-05-28,17206
2017-05-29,16400
2017-05-30,17332
2017-05-31,20824
2017-06-01,23354
2017-06-02,23312
2017-06-03,23830
2017-06-04,22239
2017-06-05,24417
2017-06-06,24136
2017-06-07,23331
2017-06-08,22562
2017-06-09,24933
2017-06-10,23319
2017-06-11,19318
2017-06-12,18387
2017-06-13,20075
2017-06-14,19022
2017-06-15,18521
2017-06-16,21063
